protein,durg,value
6,CIRP1,0.196078431
11,CIRP1,0.384615385
19,CIRP1,0.217391304
36,CIRP1,0.227272727
38,CIRP1,0.243902439
44,CIRP1,0.3125
47,CIRP1,0.23255814
49,CIRP1,0.263157895
51,CIRP1,0.256410256
58,CIRP1,0.27027027
70,CIRP1,0.238095238
72,CIRP1,0.204081633
86,CIRP1,0.222222222
96,CIRP1,0.285714286
107,CIRP1,0.178571429
126,CIRP1,0.208333333
135,CIRP1,0.2
171,CIRP1,0.204081633
175,CIRP1,0.416666667
176,CIRP1,0.416666667
178,CIRP1,0.416666667
186,CIRP1,0.285714286
187,CIRP1,0.27027027
190,CIRP1,0.23255814
199,CIRP1,0.256410256
204,CIRP1,0.222222222
218,CIRP1,0.196078431
237,CIRP1,0.15625
239,CIRP1,0.37037037
243,CIRP1,0.192307692
244,CIRP1,0.212765957
247,CIRP1,0.3125
248,CIRP1,0.3125
249,CIRP1,0.333333333
254,CIRP1,0.153846154
255,CIRP1,0.147058824
263,CIRP1,0.344827586
264,CIRP1,0.294117647
273,CIRP1,0.303030303
284,CIRP1,0.588235294
286,CIRP1,0.4
289,CIRP1,0.23255814
305,CIRP1,0.333333333
311,CIRP1,0.243902439
313,CIRP1,1
321,CIRP1,0.153846154
323,CIRP1,0.163934426
332,CIRP1,0.185185185
338,CIRP1,0.208333333
340,CIRP1,0.222222222
342,CIRP1,0.2
359,CIRP1,0.238095238
378,CIRP1,0.2
379,CIRP1,0.217391304
385,CIRP1,0.243902439
397,CIRP1,0.166666667
403,CIRP1,0.23255814
444,CIRP1,0.172413793
457,CIRP1,0.208333333
460,CIRP1,0.217391304
473,CIRP1,0.285714286
487,CIRP1,0.277777778
490,CIRP1,0.344827586
525,CIRP1,0.285714286
529,CIRP1,0.303030303
535,CIRP1,0.285714286
546,CIRP1,0.322580645
547,CIRP1,0.196078431
572,CIRP1,0.27027027
587,CIRP1,0.25
588,CIRP1,0.27027027
598,CIRP1,0.357142857
612,CIRP1,0.333333333
647,CIRP1,0.212765957
649,CIRP1,0.243902439
668,CIRP1,0.3125
670,CIRP1,0.384615385
673,CIRP1,0.333333333
675,CIRP1,0.188679245
679,CIRP1,0.5
681,CIRP1,0.208333333
700,CIRP1,0.5
702,CIRP1,0.5
712,CIRP1,0.769230769
735,CIRP1,0.138888889
743,CIRP1,0.263157895
750,CIRP1,0.416666667
753,CIRP1,0.4
760,CIRP1,0.4
763,CIRP1,0.3125
764,CIRP1,0.212765957
774,CIRP1,0.285714286
777,CIRP1,0.23255814
780,CIRP1,0.196078431
784,CIRP1,0.769230769
785,CIRP1,0.23255814
790,CIRP1,0.222222222
795,CIRP1,0.4
798,CIRP1,0.188679245
802,CIRP1,0.172413793
807,CIRP1,0.555555556
863,CIRP1,0.204081633
867,CIRP1,0.322580645
880,CIRP1,0.357142857
896,CIRP1,0.158730159
903,CIRP1,0.161290323
936,CIRP1,0.222222222
938,CIRP1,0.227272727
943,CIRP1,0.454545455
944,CIRP1,0.454545455
946,CIRP1,0.588235294
948,CIRP1,0.555555556
955,CIRP1,0.185185185
957,CIRP1,0.23255814
962,CIRP1,1
964,CIRP1,0.333333333
967,CIRP1,0.212765957
