,0,1,2,3
CIRP1,1.0967317394166304e-08,8.312933096576644e-12,1.5529134453732338e-15,7.022600966715063e-19
CIRP2,1.0967317394166304e-08,8.312933096576644e-12,1.5529134453732338e-15,7.022600966715063e-19
NQO1,1.0967317394166304e-08,8.312933096576644e-12,1.5529134453732338e-15,7.022600966715063e-19
RBM3,1.0967317394166304e-08,8.312933096576644e-12,1.5529134453732338e-15,7.022600966715063e-19
SLC5A3,1.0967317394166304e-08,8.312933096576644e-12,1.5529134453732338e-15,7.022600966715063e-19
TXNIP,1.0967317394166304e-08,8.312933096576644e-12,1.5529134453732338e-15,7.022600966715063e-19
6,8.812071391157301e-08,1.6028272748313296e-11,7.400934436939282e-15,1.794710898467047e-18
11,4.969654839679606e-08,1.2185856196841247e-11,4.4884855149671705e-15,1.2506452795875015e-18
19,8.23056802295486e-08,1.544676938011079e-11,6.9601704450197345e-15,1.7123731337651855e-18
36,7.226545235700352e-08,1.4442746592856145e-11,6.1991480401857674e-15,1.5702088806709776e-18
38,6.962804295747708e-08,1.4179005652903986e-11,5.999239465476635e-15,1.5328645751286826e-18
44,6.125082477501297e-08,1.334128383466213e-11,5.364268744898105e-15,1.4142476491954296e-18
47,7.408031461983203e-08,1.462423281913899e-11,6.3367097430906304e-15,1.5959063589891143e-18
49,7.09452306050834e-08,1.4310724417664124e-11,6.099078764337183e-15,1.5515152472531856e-18
51,6.875484671300205e-08,1.4091686028456957e-11,5.933053526841133e-15,1.520500583646056e-18
58,6.443416292852159e-08,1.3659617650011248e-11,5.60555725823893e-15,1.4593220137100912e-18
70,7.334259729271263e-08,1.4550461086427075e-11,6.2807927438452965e-15,1.5854606764671699e-18
72,8.156940097975788e-08,1.5373141455131686e-11,6.904362448187582e-15,1.7019478136485488e-18
86,8.214578342514225e-08,1.543077969967015e-11,6.9480506951336445e-15,1.7101090805923744e-18
96,6.277401781734599e-08,1.3493603138894594e-11,5.479722701403021e-15,1.4358152474540812e-18
107,9.035382781553996e-08,1.6251584138710048e-11,7.570198494990402e-15,1.8263305961733022e-18
126,8.111142031449382e-08,1.5327343388605272e-11,6.869648739328466e-15,1.6954630525419913e-18
135,8.145429412504765e-08,1.5361630769660663e-11,6.895637656629415e-15,1.7003179621916261e-18
171,8.389382405694857e-08,1.560558376285079e-11,7.080547497223408e-15,1.734860400378514e-18
175,4.8947974839442123e-08,1.2110998841105854e-11,4.431745642521607e-15,1.2400458786557443e-18
176,4.802258132951941e-08,1.2018459490113583e-11,4.361603290846018e-15,1.226942801830553e-18
178,4.8948420734546916e-08,1.2111043430616333e-11,4.431779440177323e-15,1.240052192291783e-18
186,6.171703642952434e-08,1.3387905000113011e-11,5.3996063407156365e-15,1.4208489567044242e-18
187,6.313359098674874e-08,1.352956045583467e-11,5.50697738541666e-15,1.4409066110874076e-18
190,7.21580247793908e-08,1.4432003835094873e-11,6.191005317281652e-15,1.5686877636677674e-18
199,6.562533567801941e-08,1.3778734924960378e-11,5.695844965041817e-15,1.4761883823211733e-18
204,7.527025238171378e-08,1.47432265953272e-11,6.426903841137576e-15,1.6127552408366168e-18
218,7.884743712542902e-08,1.5100945069698753e-11,6.698044872073905e-15,1.663406262280153e-18
237,7.172034104897534e-08,1.4388235462053326e-11,6.157830061768945e-15,1.5624903962956432e-18
239,5.236581380998763e-08,1.2452782738160432e-11,4.6908086902650064e-15,1.288440649233866e-18
243,8.566900986371736e-08,1.5783102343527708e-11,7.21510183093414e-15,1.7599960813138865e-18
244,8.073917456596759e-08,1.5290118813752644e-11,6.8414335077292605e-15,1.690192251970678e-18
247,5.609706554645166e-08,1.2825907911806855e-11,4.973627586964512e-15,1.341273176837288e-18
248,5.514283160428613e-08,1.2730484517590299e-11,4.90129920770264e-15,1.3277617349270827e-18
249,5.4806784531731285e-08,1.2696879810334815e-11,4.875827738873488e-15,1.3230034882338084e-18
254,9.413103561768763e-08,1.6629304918924866e-11,7.856500738489146e-15,1.879813837070883e-18
255,8.529334325143942e-08,1.57455356822999e-11,7.186627307016872e-15,1.7546768431427116e-18
263,5.694648277742825e-08,1.2910849634904526e-11,5.038011140010448e-15,1.3533004702154939e-18
264,6.183732489459285e-08,1.3399933846619794e-11,5.408723884472791e-15,1.4225521769907867e-18
273,6.041461434140091e-08,1.325766279130137e-11,5.300886231751032e-15,1.4024073569996259e-18
284,4.0418662033837806e-08,1.125806756054538e-11,3.785246556514637e-15,1.119275374259989e-18
286,5.1592171725851326e-08,1.2375418529746795e-11,4.632168690573354e-15,1.2774862913796752e-18
289,7.591608045103074e-08,1.4807809402258895e-11,6.475855880539474e-15,1.6218998206476769e-18
305,5.385210469446096e-08,1.2601411826607768e-11,4.803465561955899e-15,1.3094857326875652e-18
311,7.097779387075888e-08,1.431398074423167e-11,6.101546972735258e-15,1.551976325667125e-18
313,2.7372074212742445e-08,9.953408778435722e-12,2.7963501126761828e-15,9.345426733134452e-19
321,7.200794811288496e-08,1.4416996168444292e-11,6.179629907569481e-15,1.5665627583918396e-18
323,9.908393256566376e-08,1.7124594613722546e-11,8.231917073067631e-15,1.9499442070385872e-18
332,8.871751624354634e-08,1.608795298151065e-11,7.446170456644657e-15,1.803161300076148e-18
338,8.38118109160322e-08,1.5597382448759154e-11,7.0743311206111965e-15,1.7336991381969882e-18
340,8.104572950894158e-08,1.5320774308050047e-11,6.864669552057871e-15,1.6945329058934247e-18
342,8.337867498823502e-08,1.555406885597944e-11,7.041500576366921e-15,1.7275661652759323e-18
359,7.02232362935859e-08,1.4238524986514546e-11,6.0443535276009405e-15,1.5412921942174354e-18
378,8.239971300417295e-08,1.545617265757323e-11,6.9672978777021655e-15,1.7137045875270469e-18
379,7.837042723377976e-08,1.5053244080533814e-11,6.661888798777485e-15,1.6566520575125202e-18
385,7.25802546214016e-08,1.4474226819295964e-11,6.223009209408283e-15,1.574666312251081e-18
397,9.750895812565711e-08,1.6967097169721847e-11,8.112538225186769e-15,1.9276434119024273e-18
403,7.329412210579205e-08,1.4545613567735014e-11,6.277118454397548e-15,1.584774293764541e-18
444,9.198718961713669e-08,1.6414920318869755e-11,7.694002948633763e-15,1.8494581251003678e-18
457,8.315764915976563e-08,1.5531966273132493e-11,7.024747410039674e-15,1.7244365578389531e-18
460,7.957476831305312e-08,1.5173678188461168e-11,6.7531746297390685e-15,1.6737048826255587e-18
473,6.250398529622492e-08,1.3466599886782631e-11,5.459254958916045e-15,1.4319917314778063e-18
487,6.611579218582489e-08,1.3827780575740667e-11,5.733020255859189e-15,1.4831329839768407e-18
490,5.466190891597165e-08,1.268239224875885e-11,4.8648465548897385e-15,1.3209521270528181e-18
525,6.277233693463168e-08,1.3493435050623165e-11,5.479595294991361e-15,1.4357914470544637e-18
529,5.8800904307567464e-08,1.309629178791845e-11,5.178571329515856e-15,1.379558086586428e-18
535,6.158301433148443e-08,1.3374502790309092e-11,5.3894478243308066e-15,1.4189512755254986e-18
546,5.6917022516316986e-08,1.2907903608793399e-11,5.035778131054621e-15,1.35288332868544e-18
547,8.393456468619166e-08,1.56096578257751e-11,7.083635527897075e-15,1.7354372658840043e-18
572,6.287693452663311e-08,1.350389480982325e-11,5.487523512559212e-15,1.4372724929760326e-18
587,6.623602612521418e-08,1.3839803969679529e-11,5.7421336667157695e-15,1.4848354322087672e-18
588,6.501198345123782e-08,1.3717399702282557e-11,5.649354507598175e-15,1.467503643059225e-18
598,5.3294893614746004e-08,1.254569071863627e-11,4.761230453224516e-15,1.3015959220210054e-18
612,5.6163838105446073e-08,1.2832585167706297e-11,4.9786887682512254e-15,1.3422186405356358e-18
647,7.719803154892676e-08,1.493600451204852e-11,6.573024343226274e-15,1.6400515620871358e-18
649,6.944817091350613e-08,1.4161018448506996e-11,5.985605645885873e-15,1.5303176832545006e-18
668,5.893909136401881e-08,1.311011049356359e-11,5.1890455386027934e-15,1.3815147413473634e-18
670,5.106618622649744e-08,1.2322819979811404e-11,4.592300397272893e-15,1.270038618218939e-18
673,5.5501927793636556e-08,1.276639413652534e-11,4.9285177379048796e-15,1.3328463447781775e-18
675,8.964155834437639e-08,1.6180357191593672e-11,7.516210375127406e-15,1.81624524167187e-18
679,4.204339756153759e-08,1.1420541113315356e-11,3.908397161680712e-15,1.1422807597654987e-18
681,8.109122022800353e-08,1.5325323379956246e-11,6.868117626828447e-15,1.695177030128478e-18
700,4.275236006703896e-08,1.149143736386549e-11,3.962134622396035e-15,1.1523192894030574e-18
702,4.1450109955073034e-08,1.1361212352668899e-11,3.863427548763415e-15,1.1338801247885056e-18
712,3.1699753998834364e-08,1.038617675704495e-11,3.1243766594808604e-15,9.958203028882714e-19
735,8.836592751425174e-08,1.605279410858117e-11,7.419520971824499e-15,1.7981829918414102e-18
743,6.596493255024725e-08,1.3812694612182984e-11,5.721585499186686e-15,1.4809968922779176e-18
750,4.8370151604215e-08,1.205321651758314e-11,4.3879481875610545e-15,1.2318642108988638e-18
753,4.928287253501225e-08,1.2144488610662868e-11,4.457129991651078e-15,1.2447878507860675e-18
760,4.970921826340744e-08,1.2187123183502386e-11,4.4894458569514285e-15,1.2508246781177415e-18
763,6.05461493771417e-08,1.327081629487538e-11,5.31085623546903e-15,1.4042698227074852e-18
764,7.870165572159436e-08,1.5086366929315284e-11,6.686995031777978e-15,1.661342075624803e-18
774,6.223474186760854e-08,1.3439675543921143e-11,5.438847027529293e-15,1.4281793886290721e-18
777,7.389955078565248e-08,1.4606156435721045e-11,6.323008328188434e-15,1.5933468398428554e-18
780,8.276904559488947e-08,1.5493105916644877e-11,6.995292299735078e-15,1.7189341393429115e-18
784,3.1244567838196366e-08,1.0340658140981147e-11,3.0898747665942325e-15,9.893751104715856e-19
785,7.329412210579205e-08,1.4545613567735014e-11,6.277118454397548e-15,1.584774293764541e-18
790,7.461122218515512e-08,1.467732357567131e-11,6.376951115819983e-15,1.6034237259696596e-18
795,4.977993199149854e-08,1.2194194556311496e-11,4.494805768308999e-15,1.2518259466611643e-18
798,8.844469193031479e-08,1.6060670550187478e-11,7.425491103786503e-15,1.7992982538177473e-18
802,9.579233138254154e-08,1.6795434495410263e-11,7.982422511795386e-15,1.9033368959672742e-18
807,3.775234330182843e-08,1.0991435687344396e-11,3.5831467317650105e-15,1.0815217280420832e-18
863,8.045518462256122e-08,1.5261719819412005e-11,6.819907829983363e-15,1.686171106364906e-18
867,5.920797450815368e-08,1.3136998807977077e-11,5.2094261613900895e-15,1.385321982760686e-18
880,5.3912496410561183e-08,1.260745099821779e-11,4.8080430924265316e-15,1.3103408470655902e-18
896,1.0048378505151935e-07,1.726457986230811e-11,8.33802214545466e-15,1.96976536903013e-18
903,1.004729315337989e-07,1.726349451053607e-11,8.33719947785574e-15,1.9696116890280662e-18
936,7.888135850192807e-08,1.5104337207348657e-11,6.700616021638066e-15,1.6638865708164861e-18
938,7.733800191171015e-08,1.495000154832685e-11,6.583633722161008e-15,1.6420334675112987e-18
943,4.667993107319622e-08,1.1884194464481242e-11,4.259833994382913e-15,1.2079315927942639e-18
944,4.5725251235925885e-08,1.1788726480754204e-11,4.18747181746533e-15,1.1944138372480215e-18
946,3.9466862311818326e-08,1.1162887588343417e-11,3.713102684625807e-15,1.1057983996042457e-18
948,3.9357515687609794e-08,1.115195292592256e-11,3.7048145031251414e-15,1.1042501099283227e-18
955,9.173300323485492e-08,1.6389501680641567e-11,7.674736301066024e-15,1.8458589819691025e-18
957,7.460412348581499e-08,1.4676613705737297e-11,6.3764130534063014e-15,1.6033232121862633e-18
962,2.2218899057990684e-08,9.438091262960012e-12,2.4057532259733024e-15,8.615764711276468e-19
964,5.632546564811856e-08,1.2848747921973546e-11,4.990939703466388e-15,1.3445072000359948e-18
967,7.66201725586267e-08,1.4878218613018495e-11,6.5292241781268735e-15,1.631869388057558e-18
974,5.450002378652405e-08,1.2666203735814091e-11,4.8525760952863324e-15,1.3186599202615852e-18
978,8.145429412504765e-08,1.5361630769660663e-11,6.895637656629415e-15,1.7003179621916261e-18
979,8.841226515980385e-08,1.6057427873136384e-11,7.42303324135664e-15,1.7988391081022847e-18
980,8.179380538664885e-08,1.5395581895820788e-11,6.921371701718021e-15,1.7051252599477447e-18
983,5.6827857207992436e-08,1.2898987077960944e-11,5.029019639292253e-15,1.351620795641291e-18
984,8.896608715926992e-08,1.6112810073083013e-11,7.465011466874403e-15,1.8066809312063758e-18
985,8.848670521736573e-08,1.6064871878892572e-11,7.428675598516339e-15,1.799893139476665e-18
996,7.560000967565069e-08,1.4776202324720895e-11,6.451898561579094e-15,1.6174244276309821e-18
997,8.853316878361276e-08,1.606951823551728e-11,7.432197412500184e-15,1.800551038707186e-18
998,8.738860233270855e-08,1.595506159042683e-11,7.345442338410527e-15,1.7843445903401664e-18
999,8.826738954404422e-08,1.6042940311560416e-11,7.412052057372882e-15,1.796787746921295e-18
1001,8.345815121130044e-08,1.5562016478285985e-11,7.047524661394889e-15,1.7286915060584597e-18
1003,4.610742488588007e-08,1.1826943845749619e-11,4.216439557425454e-15,1.1998252115900907e-18
1004,4.495178112793991e-08,1.1711379469955596e-11,4.128844853105658e-15,1.183461914484076e-18
1005,6.570499915180375e-08,1.3786701272338767e-11,5.701883243173157e-15,1.4773163744736564e-18
1014,5.88948176454841e-08,1.3105683121710117e-11,5.185689709215458e-15,1.3808878491884314e-18
1017,8.765842983511892e-08,1.5982044340667876e-11,7.365894541027985e-15,1.7881652033612455e-18
1021,8.126658140364733e-08,1.5342859497520634e-11,6.881409534671284e-15,1.6976600505214008e-18
1023,5.49075736796747e-08,1.2706958725129154e-11,4.883467286573275e-15,1.3244306086258229e-18
1024,6.871245043664338e-08,1.4087446400821113e-11,5.929840002546677e-15,1.5199002750635232e-18
1030,4.986357588549022e-08,1.2202558945710666e-11,4.5011457516403804e-15,1.2530102994334488e-18
1031,5.0180574989676863e-08,1.2234258856129336e-11,4.5251734354400735e-15,1.257498837089198e-18
1032,5.522515685765685e-08,1.2738717042927374e-11,4.907539241603671e-15,1.328927416453918e-18
1045,5.479637690911562e-08,1.2695839048073248e-11,4.875038868930283e-15,1.322856121867783e-18
1046,6.895502154116829e-08,1.4111703511273473e-11,5.948226243143122e-15,1.523334952078287e-18
1048,5.349926915639626e-08,1.2566128272801296e-11,4.776721572367461e-15,1.3044897703079441e-18
1050,7.895805730744754e-08,1.5112007087900605e-11,6.70642958584849e-15,1.6649725848530511e-18
1051,8.14724328093027e-08,1.5363444638086168e-11,6.897012520356368e-15,1.7005747962527613e-18
1053,7.827315240452168e-08,1.5043516597608008e-11,6.654515627029636e-15,1.655274697992209e-18
1054,7.728227389127996e-08,1.4944428746283834e-11,6.579409687341999e-15,1.6412443885679271e-18
1055,7.872923035536928e-08,1.508912439269278e-11,6.689085115227697e-15,1.6617325176809716e-18
1060,5.727841474712275e-08,1.2944042831873982e-11,5.063170695054909e-15,1.3580004492546893e-18
1061,4.835921247586975e-08,1.2052122604748613e-11,4.387119030905871e-15,1.231709318696172e-18
1066,7.868291441202906e-08,1.5084492798358748e-11,6.685574490665151e-15,1.6610767087118027e-18
1082,7.07821445595731e-08,1.429441581311309e-11,6.0867172785099034e-15,1.5492060361332404e-18
1102,6.441116833740513e-08,1.3657318190899612e-11,5.603814329766422e-15,1.458996422606706e-18
1103,7.105586584257854e-08,1.4321787941413638e-11,6.107464619276608e-15,1.5530817830035753e-18
1110,6.388655329183447e-08,1.360485668634283e-11,5.56404991319558e-15,1.4515681543381078e-18
1117,4.786304480959307e-08,1.2002505838120946e-11,4.3495108495593815e-15,1.2246838500931534e-18
1130,8.529475324941832e-08,1.574567668209779e-11,7.186734181090482e-15,1.7546968079594546e-18
1133,4.718765573907327e-08,1.1934966931068958e-11,4.2983181653722875e-15,1.2151207023262588e-18
1135,7.763306747862631e-08,1.497950810501846e-11,6.605998902530296e-15,1.646211438018239e-18
1136,6.914211365017713e-08,1.4130412722174258e-11,5.962407324342677e-15,1.5259840762091892e-18
1137,7.680076712917e-08,1.4896278070072837e-11,6.5429127632983954e-15,1.6344265105213182e-18
1140,8.403734490031369e-08,1.5619935847187305e-11,7.09142599308506e-15,1.736892578707479e-18
1150,9.200932827572983e-08,1.6417134184729066e-11,7.69568099971151e-15,1.849771596657324e-18
1174,6.948968392487464e-08,1.4165169749643823e-11,5.9887522210577155e-15,1.5309054852775006e-18
1175,8.339161952870164e-08,1.55553633100261e-11,7.042481737894371e-15,1.7277494530409555e-18
1176,4.5432927605569874e-08,1.17594941177186e-11,4.1653144685498084e-15,1.1902746910952739e-18
1188,7.888751284299268e-08,1.5104952641455117e-11,6.701082504221591e-15,1.6639737129921264e-18
1195,7.67054136823212e-08,1.488674272538795e-11,6.535685227195504e-15,1.6330763567475894e-18
1234,7.083241276839266e-08,1.4299442633995047e-11,6.0905274742194226e-15,1.549917807066325e-18
1238,8.208596488666293e-08,1.542479784582221e-11,6.943516609992842e-15,1.7092620821026935e-18
1282,1.0967994423276783e-07,1.8184195780433056e-11,9.035066402237604e-15,2.0999780612054292e-18
1290,8.472035940316235e-08,1.5688237297472175e-11,7.143196664636813e-15,1.746563698514981e-18
1292,8.500430230614441e-08,1.5716631587770386e-11,7.164718776844427e-15,1.75058417805352e-18
1318,9.820548882581515e-08,1.7036750239737658e-11,8.165333388324885e-15,1.93750591382989e-18
1329,9.20592896093913e-08,1.6422130318095214e-11,7.699467935105256e-15,1.8504790224024103e-18
1331,9.02925971513832e-08,1.6245461072294373e-11,7.565557374502133e-15,1.8254636027398058e-18
1337,8.837142289046705e-08,1.6053343646202703e-11,7.419937506635854e-15,1.798260803427466e-18
1355,8.80577147224737e-08,1.602197282940336e-11,7.396159266992984e-15,1.7938188636668867e-18
1360,9.179953401745161e-08,1.639615475890124e-11,7.67977915634879e-15,1.8468010222430583e-18
1369,9.917496403081325e-08,1.71336977602375e-11,8.238817014523439e-15,1.9512331638646e-18
1372,8.753644064012476e-08,1.5969845421168462e-11,7.356648086493608e-15,1.7864379016493667e-18
1385,9.691633347325865e-08,1.6907834704481988e-11,8.067618862413597e-15,1.919252164000192e-18
